latitude,longitude,weights
-34.9328294,138.6038129,11862.05435
-34.9091145,138.5962997,23831.87135
-35.0183091,138.7442455,-13775.32124
-34.939722,138.737222,0
-34.929881,138.7743842,241000
-34.998118,138.62254,49984.02253
-35.0712438,138.7064381,0
-35.0123998,138.7743842,-5854.447776
-34.966565,138.7743842,320000
-34.8715897,138.7656225,0
-34.911944,138.765278,-8500
-34.9701208,138.6940504,0
-34.9875645,138.714123,54530.30303
-34.9934589,138.6840168,37919.64286
-35.0858138,138.6777686,0
-34.9526096,138.7015768,19361.11111
-35.0275296,138.7166326,-34981.81818
-34.9376057,138.7040858,0
-34.7354281,138.8124093,0
-35.05,138.683333,0
-35.0433373,138.7216521,55000
-34.919389,138.758414,30000
-34.893372,138.735106,0
-34.9940686,138.7743842,0
-35.05,138.75,-97666.66667
-34.9174787,138.7442455,132400
-34.9788,138.732,-13463
-34.8955402,138.6965591,33277.78569
-35.0579372,138.7015768,0
-35.0058863,138.714123,39588
-34.935,138.678,-18437.49495
-34.95,138.716667,-56500
-34.914,138.696,50386.36364
-35.015,138.686,126196.9697
-34.9599982,138.7417347,-28669.33333
-34.96,138.676,132750
-34.9063302,138.7116136,-138577.9221
-34.918,138.685,226041.6667
-34.951,138.661,4233.590734
-34.919,138.643,107203.7333
-34.939,138.666,-5346.718147
-34.936,138.63,16770.22059
-34.942,138.621,117100
-34.928,138.662,75321.875
-34.947,138.63,21230.28571
-34.9600124,138.6501667,-96330.63736
-34.943,138.635,-43877.36111
-34.951,138.639,47152.09091
-34.939,138.657,135260.6476
-34.9376057,138.7040858,0
-34.9177203,138.6614478,-34484.28571
-34.9208593,138.6551802,137614.6245
-34.93,138.651,-324636.3636
-34.9677,138.671,0
-34.947,138.65,-30262.3913
-34.909,138.6758,32303.8329
-34.963529,138.6614478,-94409.09091
-34.93072,138.62798,-40888.88889
-34.9221,138.6754,161348.2906
-34.925,138.694,174666.6667
-34.954,138.648,-42953.41615
-34.935,138.678,-18437.49495
-34.933,138.638,123379.6791
-34.9360768,138.6476601,49378.78788
-34.96,138.676,132750
-34.927812,138.677073,-66996.5035
-34.87,138.703,32705.31136
-34.878,138.663,-9308.270677
-34.8929224,138.6652086,9340.909091
-34.909,138.6758,32303.8329
-34.880165,138.6815087,18164.56511
-34.872,138.676,46335.10738
-34.8955402,138.6965591,33277.78569
-34.905,138.662,6880.319149
-34.878,138.521,-86.87002653
-34.904,138.555,126284.8297
-34.858,138.543,36123.56979
-34.893,138.547,-6326.754386
-34.904,138.579,-33750
-34.897,138.577,36787.39003
-34.869,138.526,38927.08333
-34.898,138.564,19714.28571
-34.888,138.58,21191.07143
-34.9004716,138.5312279,18933.80813
-34.908,138.546,-5973.039216
-34.913,138.514,32095.62629
-34.9,138.489,48535.08772
-34.872,138.515,26210.40724
-34.92,138.494,49201.974
-34.927,138.501,13398.80952
-34.906,138.57,0
-34.914,138.528,25362.60163
-34.8783839,138.552493,105911.1111
-34.898,138.586,124340
-34.856,138.529,50134.9359
-34.893,138.578,48938.88889
-34.8925,138.5703,41376.19048
-34.8551221,138.5212237,-4122.807018
-34.872,138.508,8240.054429
-34.899,138.514,28488.73406
-34.854,138.484,20043.98148
-34.871,138.53,-81007.21212
-34.883,138.483,156602.5641
-34.9041817,138.5581233,-71166.66667
-34.945278,138.50375,81865.74074
-34.89,138.558,17131.52439
-34.9054239,138.5625029,20034.72222
-34.8722171,138.496221,28364.39394
-34.86349,138.4862231,73152.85554
-34.881,138.535,82107.84314
-34.863,138.538,39993.54839
-34.882142,138.5449867,71030.31818
-34.881,138.535,65960.9434
-34.8828,138.5258,-3724.97384
-34.6383421,138.7661021,0
-34.616111,138.731667,-13729.39666
-34.624,138.722,32462.3803
-34.62893,138.74885,-17885.65668
-34.64552,138.72758,-11661.68831
-34.5973516,138.7448796,-43931.62393
-34.60192,138.76469,-28141.40784
-34.611,138.751,75800.53191
-34.6037,138.73404,9285.714286
-34.625,138.696,0
-34.6438424,138.7040858,0
-34.59919,138.72957,-28000
-34.6776509,138.7453293,0
-34.591,138.744,7731.284236
-35.019,138.52,-140894.2308
-34.982,138.516,113366.6667
-34.986,138.523,101450.6641
-34.971,138.517,43076.53682
-34.9886456,138.514972,210580.9524
-35.009,138.522,118152.962
-35.0376785,138.5174726,68053.57143
-35.004515,138.522148,-33675.32468
-35.033333,138.516667,58105.15873
-35.031,138.532,51218.70715
-34.99541,138.521461,79932.93651
-35.024514,138.523564,-70058.49754
-34.988318,138.559096,45117.05556
-35.021,138.568,61608.63333
-34.9999023,138.5717982,2257.575758
-35.03,138.557,130388.8889
-35.025,138.538,-3622.892635
-34.98,138.571,-6618.650218
-34.96,138.566,58786.11111
-34.983333,138.533333,11560.60606
-35.077,138.502,39468.15367
-35.106587,138.4937213,0
-35.0497245,138.5162223,-22031.77609
-35,138.552,32957.72947
-35.011,138.562,7118.542706
-34.989,138.539,26808.88889
-35.014,138.545,10005.04202
-35.064,138.553,-9686.554622
-34.994,138.557,-14685.24514
-34.976944,138.551389,18197.52291
-35.031,138.532,51218.70715
-35.026,138.545,13335.38698
-35.034,138.549,-598.1449275
-35.034,138.536,-7750
-35.081294,138.5262256,-15915.07927
-34.977,138.556,-8072.582973
-35.0235516,138.5549953,-18351.30435
-35.0146,138.571,-70888.88889
-35.065,138.541,3164.438503
-35.007,138.538,11838.61131
-35.021,138.568,61608.63333
-34.998118,138.62254,49984.02253
-35.033,138.587,40416.66667
-35.022684,138.6163371,127186.6029
-34.987,138.653,0
-34.99,138.603,-58444.33333
-34.972,138.578,37341.38889
-34.9823579,138.5962997,63975.1462
-35.0476306,138.6213476,427.3238636
-34.9934589,138.6840168,37919.64286
-35.04119,138.60515,83067.65328
-34.973633,138.5862837,17674.04306
-34.981,138.588,-36199.34641
-35.027,138.601,-8311.842105
-35.0131071,138.6263585,37884.4086
-34.968,138.6,163464.2857
-35.02,138.631,2167.753623
-34.971,138.616,123819.5652
-34.9677,138.671,0
-34.981111,138.605833,46530.81385
-34.998,138.609,-586500
-34.99,138.576,-33336.95652
-34.987,138.625,-51762.27767
-34.972,138.627,-85353.24561
-34.995,138.597,47808.40774
-35.002,138.59,31587.80488
-34.978,138.631,-174690
-35.006,138.577,5524.230769
-34.986,138.616,-41290.15837
-35.015,138.686,126196.9697
-34.967,138.636,-85000
-34.969722,138.595833,232434.7826
-34.913,138.622,-474758.3333
-34.905,138.635,-35089.31624
-34.891,138.644,5697.106262
-34.9037874,138.6526734,57037.59398
-34.8969137,138.6526734,-20083.33333
-34.917,138.616,143333.3333
-34.931,138.648,-283550
-34.899,138.625,11368.42105
-34.924,138.645,86692.30769
-34.920278,138.619167,-70000
-34.896389,138.639167,-18807.98333
-34.927778,138.646944,-148636.3636
-34.911,138.637,-63338
-34.923,138.633,270598.8095
-34.899,138.642,4508.658009
-34.905,138.646,176605.3512
-34.899,138.634,202333.3333
-34.91088,138.65398,39453.57143
-34.903,138.622,289646.5517
-34.912,138.629,128685.7143
-34.91111,138.64453,69285.71429
-35.067,138.6,-19.89065348
-35.267,138.483,79047.61905
-35.281,138.454,10301.2207
-35.1654325,138.6153977,0
-35.087538,138.623853,-40425
-35.0715089,138.6584766,0
-35.1281692,138.496221,22135.48387
-35.1335313,138.476227,-28451.57967
-35.1054491,138.6297435,26333.33333
-35.0451047,138.6539268,0
-35.0476306,138.6213476,427.3238636
-35.04119,138.60515,83067.65328
-35.03,138.557,130388.8889
-35.0858138,138.6777686,0
-35.05,138.583333,12942.67516
-35.158916,138.5262256,19705.5336
-35.143,138.514,6288.034884
-35.077,138.502,39468.15367
-35.083,138.567,12959.40504
-35.155,138.518,17395.625
-35.05,138.683333,0
-35.1474667,138.6403068,46600
-35.106587,138.4937213,0
-35.2301549,138.4837239,75277.77778
-35.2053048,138.5891838,-66763.88889
-35.2210309,138.5461247,67632.41107
-35.198,138.473,11255.31915
-35.118,138.529,18191.43641
-35.14,138.493,11700
-35.148,138.502,29482.35294
-35.064,138.553,-9686.554622
-35.180847,138.502658,-17445
-35.0966681,138.541234,32668.63588
-35.1432538,138.5428373,-4786.324786
-35.1198409,138.476227,-8801.362179
-35.1472196,138.476227,-3041.714286
-35.168,138.472,62072.91667
-35.266,138.465,-21281.25
-35.09814,138.527444,-2994.171717
-35.09,138.55,2807.807018
-35.191,138.478,39990.57247
-35.1979097,138.496455,-12323.52941
-35.173,138.487,458.9841665
-35.202,138.488,-2935.876623
-35.33,138.448,74860.13531
-35.3500635,138.5015331,0
-35.2369804,138.5096886,0
-35.24631,138.62283,0
-34.887525,138.624461,95718.83469
-35.2800175,138.5165348,0
-35.2743124,138.5559895,45704.71014
-35.2953597,138.551613,0
-35.118261,138.5437358,14870.96253
-34.672,138.667,-3309.531616
-34.6416029,138.6539268,-50209.55166
-34.6383421,138.7661021,0
-34.682,138.702,10696.01853
-34.6457618,138.5102836,0
-34.708611,138.705556,6840.970109
-34.691389,138.668056,-2234.375
-34.7185389,138.6288642,0
-34.705,138.66,0
-34.72,138.673,31669.56522
-34.69906,138.69303,10926.92308
-34.72625,138.681,-8797.037037
-34.7338017,138.6714773,15024.35897
-34.70079,138.67578,-6384.169884
-34.71239,138.68543,1937.5
-34.74126,138.65639,11225
-34.7475748,138.6714773,3543.478261
-34.62893,138.74885,-17885.65668
-34.6946,138.655,2112.059524
-34.7629557,138.7640222,0
-34.7471145,138.6815087,-14729.375
-34.625,138.696,0
-34.7354281,138.8124093,0
-34.66973,138.64501,0
-34.668,138.7,38948.71795
-34.64716,138.67813,0
-34.659,138.666,4197.21196
-34.7155458,138.7662817,-11500
-34.6876893,138.6333343,0
-34.6584706,138.6132442,0
-34.7549047,138.7778197,0
-34.685833,138.686944,15436.37993
-34.6768,138.67674,13150.2574
-34.7382025,138.534511,-61000
-34.6776509,138.7453293,0
-34.6743048,138.5560901,-17187.5
-34.7296627,138.5759347,0
-34.6620474,138.771558,0
-34.861,138.516,-4310.344828
-34.859,138.561,17872.25
-34.8360061,138.4999707,-2734.375
-34.861,138.597,-7789.67162
-34.873,138.614,-14545.49164
-34.859,138.617,12432.45839
-34.886,138.567,24165.1158
-34.861,138.683,33307.83608
-34.888,138.58,21191.07143
-34.8333559,138.5897985,21750
-34.882,138.578,91687.5
-34.8628684,138.6063175,8873.09667
