latitude,longitude,weights
-34.9328294,138.6038129,355462.8623
-34.9091145,138.5962997,121111.1111
-35.0183091,138.7442455,190423.4694
-34.939722,138.737222,0
-34.929881,138.7743842,146500
-34.998118,138.62254,188338.9103
-35.0712438,138.7064381,266200
-35.0123998,138.7743842,195519.4581
-34.966565,138.7743842,-10000
-34.8715897,138.7656225,0
-34.911944,138.765278,0
-34.9701208,138.6940504,0
-34.9875645,138.714123,183747.8006
-34.9934589,138.6840168,-9972.5
-35.0858138,138.6777686,0
-34.9526096,138.7015768,323596.1538
-35.0275296,138.7166326,247231.8182
-34.9376057,138.7040858,0
-34.7354281,138.8124093,0
-35.05,138.683333,-357000
-35.0433373,138.7216521,90000
-34.919389,138.758414,0
-34.893372,138.735106,0
-34.9940686,138.7743842,0
-35.05,138.75,274333.3333
-34.9174787,138.7442455,400600
-34.9788,138.732,92312.5
-34.8955402,138.6965591,114981.6678
-35.0579372,138.7015768,0
-35.0058863,138.714123,132079.5918
-34.935,138.678,420729.9064
-34.95,138.716667,276214.2857
-34.914,138.696,102678.5714
-35.015,138.686,34974.35897
-34.9599982,138.7417347,248268.25
-34.96,138.676,-403500
-34.9063302,138.7116136,455089.2857
-34.918,138.685,-17083.33333
-34.951,138.661,477390.1099
-34.919,138.643,148880.9524
-34.939,138.666,341891.6161
-34.936,138.63,390736.5729
-34.942,138.621,159045.4545
-34.928,138.662,155066.6667
-34.947,138.63,267808.4444
-34.9600124,138.6501667,279677.9231
-34.943,138.635,638599.2063
-34.951,138.639,296532
-34.939,138.657,316122.6857
-34.9376057,138.7040858,0
-34.9177203,138.6614478,144570
-34.9208593,138.6551802,289987.2564
-34.93,138.651,797500
-34.9677,138.671,0
-34.947,138.65,472596.1792
-34.909,138.6758,169331.7421
-34.963529,138.6614478,353090.9091
-34.93072,138.62798,106181.8182
-34.9221,138.6754,307055.5556
-34.925,138.694,-277666.6667
-34.954,138.648,404386.4908
-34.935,138.678,420729.9064
-34.933,138.638,244654.4118
-34.9360768,138.6476601,164225.4902
-34.96,138.676,-403500
-34.927812,138.677073,625996.5035
-34.87,138.703,65135.41114
-34.878,138.663,83864.31178
-34.8929224,138.6652086,78542.7116
-34.909,138.6758,169331.7421
-34.880165,138.6815087,89649.25373
-34.872,138.676,81712.93547
-34.8955402,138.6965591,114981.6678
-34.905,138.662,132194.6809
-34.878,138.521,115966.3436
-34.904,138.555,-35018.38235
-34.858,138.543,70605.47504
-34.893,138.547,112744.7917
-34.904,138.579,114533.3333
-34.897,138.577,109788.3675
-34.869,138.526,57906.25
-34.898,138.564,253107.1429
-34.888,138.58,104071.4286
-34.9004716,138.5312279,8052.353252
-34.908,138.546,110651.3038
-34.913,138.514,100296.544
-34.9,138.489,153143.9394
-34.872,138.515,82164.10256
-34.92,138.494,237513.5685
-34.927,138.501,333377.451
-34.906,138.57,0
-34.914,138.528,84658.63095
-34.8783839,138.552493,98196.8599
-34.898,138.586,-33312.5
-34.856,138.529,96535.89744
-34.893,138.578,131291.1111
-34.8925,138.5703,11482.14286
-34.8551221,138.5212237,67709.09091
-34.872,138.508,105597.6297
-34.899,138.514,87781.34194
-34.854,138.484,85745.46887
-34.871,138.53,182004.5455
-34.883,138.483,-120144.2308
-34.9041817,138.5581233,215787.5
-34.945278,138.50375,199530.3672
-34.89,138.558,182381.2069
-34.9054239,138.5625029,133817.9348
-34.8722171,138.496221,114545.7998
-34.86349,138.4862231,124545.0499
-34.881,138.535,-17293.35038
-34.863,138.538,71974.19355
-34.882142,138.5449867,5101.5
-34.881,138.535,48768.32744
-34.8828,138.5258,46010.85541
-34.6383421,138.7661021,0
-34.616111,138.731667,22019.30894
-34.624,138.722,-7736.890105
-34.62893,138.74885,28069.72955
-34.64552,138.72758,14472.52747
-34.5973516,138.7448796,84316.23932
-34.60192,138.76469,94576.3103
-34.611,138.751,-6998.376623
-34.6037,138.73404,-6890.625
-34.625,138.696,15000
-34.6438424,138.7040858,0
-34.59919,138.72957,88750
-34.6776509,138.7453293,0
-34.591,138.744,41531.22967
-35.019,138.52,404352.1635
-34.982,138.516,296577.7778
-34.986,138.523,127363.7375
-34.971,138.517,57219.79125
-34.9886456,138.514972,705563.4921
-35.009,138.522,44971.86933
-35.0376785,138.5174726,379063.6104
-35.004515,138.522148,261853.8961
-35.033333,138.516667,99322.24026
-35.031,138.532,110018.3695
-34.99541,138.521461,14537.57339
-35.024514,138.523564,224221.444
-34.988318,138.559096,71205.95238
-35.021,138.568,58599.7
-34.9999023,138.5717982,115969.697
-35.03,138.557,11618.42105
-35.025,138.538,87147.59725
-34.98,138.571,119945.1923
-34.96,138.566,127806.8182
-34.983333,138.533333,112875
-35.077,138.502,97856.97935
-35.106587,138.4937213,0
-35.0497245,138.5162223,108279.244
-35,138.552,122327.7778
-35.011,138.562,113404.1974
-34.989,138.539,56969.27438
-35.014,138.545,85088.70798
-35.064,138.553,95121.42857
-34.994,138.557,93742.57437
-34.976944,138.551389,69256.56276
-35.031,138.532,110018.3695
-35.026,138.545,118008.5034
-35.034,138.549,124388.0952
-35.034,138.536,144170.7516
-35.081294,138.5262256,117668.1243
-34.977,138.556,84121.8254
-35.0235516,138.5549953,88237.45819
-35.0146,138.571,124345.4106
-35.065,138.541,82028.13853
-35.007,138.538,83316.9965
-35.021,138.568,58599.7
-34.998118,138.62254,188338.9103
-35.033,138.587,122386.9048
-35.022684,138.6163371,47981.24675
-34.987,138.653,0
-34.99,138.603,197583.3333
-34.972,138.578,48880.83333
-34.9823579,138.5962997,108276.2763
-35.0476306,138.6213476,117864.119
-34.9934589,138.6840168,-9972.5
-35.04119,138.60515,197302.8409
-34.973633,138.5862837,168039.7727
-34.981,138.588,172354.902
