latitude,longitude,weights
-34.9328294,138.6038129,33618.18182
-34.9091145,138.5962997,292700.8547
-35.0183091,138.7442455,12362.63736
-34.939722,138.737222,0
-34.929881,138.7743842,0
-34.998118,138.62254,46172.4537
-35.0712438,138.7064381,0
-35.0123998,138.7743842,0
-34.966565,138.7743842,0
-34.8715897,138.7656225,0
-34.911944,138.765278,0
-34.9701208,138.6940504,0
-34.9875645,138.714123,131952.765
-34.9934589,138.6840168,62051.02941
-35.0858138,138.6777686,0
-34.9526096,138.7015768,0
-35.0275296,138.7166326,42187.5
-34.9376057,138.7040858,0
-34.7354281,138.8124093,0
-35.05,138.683333,0
-35.0433373,138.7216521,15000
-34.919389,138.758414,0
-34.893372,138.735106,0
-34.9940686,138.7743842,0
-35.05,138.75,33396.8254
-34.9174787,138.7442455,25000
-34.9788,138.732,10200
-34.8955402,138.6965591,31988.86364
-35.0579372,138.7015768,0
-35.0058863,138.714123,0
-34.935,138.678,224781.5789
-34.95,138.716667,28383.33333
-34.914,138.696,162562.5
-35.015,138.686,22419.19192
-34.9599982,138.7417347,50550
-34.96,138.676,0
-34.9063302,138.7116136,0
-34.918,138.685,320500
-34.951,138.661,65227.95892
-34.919,138.643,3888.888889
-34.939,138.666,68367.64706
-34.936,138.63,319489.5833
-34.942,138.621,174644.4444
-34.928,138.662,122066.6667
-34.947,138.63,82370.66667
-34.9600124,138.6501667,0
-34.943,138.635,63621.79487
-34.951,138.639,80469.47368
-34.939,138.657,58334.44444
-34.9376057,138.7040858,0
-34.9177203,138.6614478,117266.4835
-34.9208593,138.6551802,112980.7692
-34.93,138.651,306369.0476
-34.9677,138.671,0
-34.947,138.65,115960.2381
-34.909,138.6758,31925.92593
-34.963529,138.6614478,16625
-34.93072,138.62798,0
-34.9221,138.6754,219011.3636
-34.925,138.694,212444.4444
-34.954,138.648,120843.8846
-34.935,138.678,224781.5789
-34.933,138.638,208926.6667
-34.9360768,138.6476601,142745.3214
-34.96,138.676,0
-34.927812,138.677073,20432.85714
-34.87,138.703,0
-34.878,138.663,31965.88462
-34.8929224,138.6652086,0
-34.909,138.6758,31925.92593
-34.880165,138.6815087,18209.85795
-34.872,138.676,28588.88889
-34.8955402,138.6965591,31988.86364
-34.905,138.662,27384.23742
-34.878,138.521,0
-34.904,138.555,20547.61905
-34.858,138.543,12895.2381
-34.893,138.547,0
-34.904,138.579,0
-34.897,138.577,66559.7561
-34.869,138.526,29240.83333
-34.898,138.564,101290.9091
-34.888,138.58,65670.32967
-34.9004716,138.5312279,7890.597974
-34.908,138.546,37531.44458
-34.913,138.514,37902.69886
-34.9,138.489,46806.95402
-34.872,138.515,0
-34.92,138.494,0
-34.927,138.501,6988.372093
-34.906,138.57,22666.66667
-34.914,138.528,0
-34.8783839,138.552493,21500
-34.898,138.586,14266.66667
-34.856,138.529,13621.21212
-34.893,138.578,18833.33333
-34.8925,138.5703,39758.33333
-34.8551221,138.5212237,23094.96228
-34.872,138.508,47806.4843
-34.899,138.514,27270.65678
-34.854,138.484,0
-34.871,138.53,83376.31579
-34.883,138.483,296200
-34.9041817,138.5581233,144855.5556
-34.945278,138.50375,53778.32756
-34.89,138.558,8500
-34.9054239,138.5625029,78706.66667
-34.8722171,138.496221,2032.913165
-34.86349,138.4862231,0
-34.881,138.535,95671.42857
-34.863,138.538,23108.37438
-34.882142,138.5449867,0
-34.881,138.535,54165.04585
-34.8828,138.5258,7845.200197
-34.6383421,138.7661021,0
-34.616111,138.731667,27544.96568
-34.624,138.722,16555.25078
-34.62893,138.74885,8661.114248
-34.64552,138.72758,18500
-34.5973516,138.7448796,87133.33333
-34.60192,138.76469,0
-34.611,138.751,0
-34.6037,138.73404,0
-34.625,138.696,0
-34.6438424,138.7040858,0
-34.59919,138.72957,33236.11111
-34.6776509,138.7453293,0
-34.591,138.744,1159.76072
-35.019,138.52,0
-34.982,138.516,39516.66667
