latitude,longitude,weights
-34.9328294,138.6038129,270048.4848
-34.9091145,138.5962997,275961.5385
-35.0183091,138.7442455,33097.26444
-34.939722,138.737222,214720
-34.929881,138.7743842,37000
-34.998118,138.62254,0
-35.0712438,138.7064381,0
-35.0123998,138.7743842,53054.72455
-34.966565,138.7743842,0
-34.8715897,138.7656225,0
-34.911944,138.765278,0
-34.9701208,138.6940504,0
-34.9875645,138.714123,0
-34.9934589,138.6840168,0
-35.0858138,138.6777686,0
-34.9526096,138.7015768,56005.55556
-35.0275296,138.7166326,68895.83333
-34.9376057,138.7040858,0
-34.7354281,138.8124093,0
-35.05,138.683333,0
-35.0433373,138.7216521,0
-34.919389,138.758414,0
-34.893372,138.735106,0
-34.9940686,138.7743842,0
-35.05,138.75,0
-34.9174787,138.7442455,55000
-34.9788,138.732,139750
-34.8955402,138.6965591,28106.28342
-35.0579372,138.7015768,0
-35.0058863,138.714123,48550.09671
-34.935,138.678,0
-34.95,138.716667,8851.333333
-34.914,138.696,120541.6667
-35.015,138.686,350.6944444
-34.9599982,138.7417347,0
-34.96,138.676,0
-34.9063302,138.7116136,132375
-34.918,138.685,0
-34.951,138.661,0
-34.919,138.643,97877.41546
-34.939,138.666,0
-34.936,138.63,0
-34.942,138.621,0
-34.928,138.662,54647.05882
-34.947,138.63,54333.33333
-34.9600124,138.6501667,98528.57143
-34.943,138.635,0
-34.951,138.639,195377.193
-34.939,138.657,0
-34.9376057,138.7040858,0
-34.9177203,138.6614478,80942.54658
-34.9208593,138.6551802,162092.5926
-34.93,138.651,161242.8571
-34.9677,138.671,0
-34.947,138.65,72910.13228
-34.909,138.6758,3784.90991
-34.963529,138.6614478,0
-34.93072,138.62798,197333.3333
-34.9221,138.6754,0
-34.925,138.694,85055.55556
-34.954,138.648,201340.7692
-34.935,138.678,0
-34.933,138.638,21756.66667
-34.9360768,138.6476601,92908.27381
-34.96,138.676,0
-34.927812,138.677073,37580.82707
-34.87,138.703,57742.68772
-34.878,138.663,7424.5
-34.8929224,138.6652086,42025.60297
-34.909,138.6758,3784.90991
-34.880165,138.6815087,4607.966189
-34.872,138.676,0
-34.8955402,138.6965591,28106.28342
-34.905,138.662,77299.54881
-34.878,138.521,18981.48148
-34.904,138.555,0
-34.858,138.543,0
-34.893,138.547,6816.315789
-34.904,138.579,0
-34.897,138.577,0
-34.869,138.526,8670
