latitude,longitude,weights
-34.9328294,138.6038129,-219587.4167
-34.9091145,138.5962997,-287160.9312
-35.0183091,138.7442455,66468.87313
-34.939722,138.737222,0
-34.929881,138.7743842,-211250
-34.998118,138.62254,3797.723502
-35.0712438,138.7064381,0
-35.0123998,138.7743842,4090.120433
-34.966565,138.7743842,0
-34.8715897,138.7656225,0
-34.911944,138.765278,0
-34.9701208,138.6940504,0
-34.9875645,138.714123,-58237.78104
-34.9934589,138.6840168,137379.6992
-35.0858138,138.6777686,0
-34.9526096,138.7015768,48633.33333
-35.0275296,138.7166326,9666.666667
-34.9376057,138.7040858,0
-34.7354281,138.8124093,0
-35.05,138.683333,0
-35.0433373,138.7216521,0
-34.919389,138.758414,0
-34.893372,138.735106,0
-34.9940686,138.7743842,139500
-35.05,138.75,113916.6667
-34.9174787,138.7442455,-43000
-34.9788,138.732,-171287
-34.8955402,138.6965591,-13973.01896
-35.0579372,138.7015768,0
-35.0058863,138.714123,9780.085106
-34.935,138.678,52633.52273
-34.95,138.716667,64598.66667
-34.914,138.696,-256678.0303
-35.015,138.686,-18269.88636
-34.9599982,138.7417347,90419.33333
-34.96,138.676,59250
-34.9063302,138.7116136,-9886.363636
-34.918,138.685,-22757.35294
-34.951,138.661,77154.91101
-34.919,138.643,-10261.70435
-34.939,138.666,41622.61905
-34.936,138.63,-177343.75
-34.942,138.621,-6100
-34.928,138.662,-114568.9338
-34.947,138.63,51269.71429
-34.9600124,138.6501667,29214.28571
-34.943,138.635,112960.6944
-34.951,138.639,-167350.7576
-34.939,138.657,-60698.55072
-34.9376057,138.7040858,0
-34.9177203,138.6614478,-45763.97516
-34.9208593,138.6551802,-178562.2896
-34.93,138.651,-35892.20779
-34.9677,138.671,0
-34.947,138.65,-39658.7037
-34.909,138.6758,-23419.16917
-34.963529,138.6614478,289242.4242
-34.93072,138.62798,84555.55556
-34.9221,138.6754,-30078.84615
-34.925,138.694,-33000
-34.954,138.648,-32060.86957
-34.935,138.678,52633.52273
-34.933,138.638,11374.24242
-34.9360768,138.6476601,-108984.9784
-34.96,138.676,59250
-34.927812,138.677073,50795.54656
-34.87,138.703,-14814.52552
-34.878,138.663,-7363.157895
-34.8929224,138.6652086,-13859.69388
-34.909,138.6758,-23419.16917
-34.880165,138.6815087,-5639.485585
-34.872,138.676,-26513.48304
-34.8955402,138.6965591,-13973.01896
-34.905,138.662,-61735.86957
-34.878,138.521,33598.97829
-34.904,138.555,29276.82186
-34.858,138.543,20989.47368
-34.893,138.547,1228.421053
-34.904,138.579,78000
-34.897,138.577,-7133.68984
-34.869,138.526,22526.66667
-34.898,138.564,12187.5
-34.888,138.58,24699.5
-34.9004716,138.5312279,12694.52287
-34.908,138.546,15237.06897
-34.913,138.514,30984.40832
-34.9,138.489,7020.467836
-34.872,138.515,-32155.46218
-34.92,138.494,-6320.737327
-34.927,138.501,-49418.04029
-34.906,138.57,0
-34.914,138.528,12413.15595
