latitude,longitude,weights
-34.9328294,138.6038129,73800
-34.9091145,138.5962997,-270435.6725
-35.0183091,138.7442455,9262.820513
-34.939722,138.737222,0
-34.929881,138.7743842,0
-34.998118,138.62254,33664.65378
-35.0712438,138.7064381,0
-35.0123998,138.7743842,39841.09916
-34.966565,138.7743842,70000
-34.8715897,138.7656225,0
-34.911944,138.765278,0
-34.9701208,138.6940504,0
-34.9875645,138.714123,23795.11278
-34.9934589,138.6840168,111256.875
-35.0858138,138.6777686,0
-34.9526096,138.7015768,19641.41414
-35.0275296,138.7166326,-159159.0909
-34.9376057,138.7040858,0
-34.7354281,138.8124093,0
-35.05,138.683333,145000
-35.0433373,138.7216521,0
-34.919389,138.758414,0
-34.893372,138.735106,0
-34.9940686,138.7743842,0
-35.05,138.75,120714.2857
-34.9174787,138.7442455,-80000
-34.9788,138.732,54800
-34.8955402,138.6965591,28443.23171
-35.0579372,138.7015768,0
-35.0058863,138.714123,98696.70996
-34.935,138.678,-40337.4613
-34.95,138.716667,-21458.33333
-34.914,138.696,-22229.16667
-35.015,138.686,54886.36364
-34.9599982,138.7417347,12111.11111
-34.96,138.676,0
-34.9063302,138.7116136,-175250
-34.918,138.685,49768.66667
-34.951,138.661,53526.78363
-34.919,138.643,-4614.130435
-34.939,138.666,42730.2521
-34.936,138.63,-32876.83824
-34.942,138.621,-82236.44444
-34.928,138.662,102308.3333
-34.947,138.63,7546
-34.9600124,138.6501667,164193.1818
-34.943,138.635,114846.1538
-34.951,138.639,44764.66667
-34.939,138.657,103388.8889
-34.9376057,138.7040858,0
-34.9177203,138.6614478,21154.64744
-34.9208593,138.6551802,-19076.00733
-34.93,138.651,-247583.3333
-34.9677,138.671,0
-34.947,138.65,-109166.6667
-34.909,138.6758,56195.30049
-34.963529,138.6614478,94500
-34.93072,138.62798,151035.7143
-34.9221,138.6754,-159677.6316
-34.925,138.694,-42500
-34.954,138.648,0
-34.935,138.678,-40337.4613
-34.933,138.638,-230661.9048
-34.9360768,138.6476601,102697.6933
-34.96,138.676,0
-34.927812,138.677073,29986.31579
-34.87,138.703,36856.57703
-34.878,138.663,31399.74144
-34.8929224,138.6652086,66035.28708
-34.909,138.6758,56195.30049
-34.880165,138.6815087,14021.16883
-34.872,138.676,33138.70968
-34.8955402,138.6965591,28443.23171
-34.905,138.662,15810.06206
-34.878,138.521,72910.71429
-34.904,138.555,59544.64286
-34.858,138.543,-22613.09524
-34.893,138.547,34351.08696
-34.904,138.579,219666.8
-34.897,138.577,10006.96864
-34.869,138.526,-93520.83333
-34.898,138.564,124925
-34.888,138.58,-99170.32967
-34.9004716,138.5312279,27323.89236
-34.908,138.546,23490.35505
-34.913,138.514,16218.45319
-34.9,138.489,63060
-34.872,138.515,14727.12613
-34.92,138.494,92003.24675
-34.927,138.501,-160520.9808
-34.906,138.57,0
-34.914,138.528,61107.14286
-34.8783839,138.552493,63958.33333
-34.898,138.586,75239.58333
-34.856,138.529,-1721.212121
-34.893,138.578,-750
-34.8925,138.5703,60970.83333
-34.8551221,138.5212237,-5067.418214
-34.872,138.508,32680.02323
-34.899,138.514,27721.61473
-34.854,138.484,10283.18981
-34.871,138.53,0
-34.883,138.483,70743.16667
-34.9041817,138.5581233,33366.66667
